"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
1725571590000,41721344000,3380387840,10045243392,28295712768,0
1725571620000,41721344000,3375120384,10045632512,28300591104,0
1725571650000,41721344000,3394170880,10046050304,28281122816,0
1725571680000,41721344000,3433955328,10046431232,28240957440,0
1725571710000,41721344000,3434426368,10046849024,28240068608,0
1725571740000,41721344000,3465007104,10047217664,28209119232,0
1725571770000,41721344000,3462893568,10047680512,28210769920,0
1725571800000,41721344000,3503747072,10048004096,28169592832,0
1725571830000,41721344000,3488075776,10048454656,28184813568,0
1725571860000,41721344000,3516223488,10048856064,28156264448,0
1725571890000,41721344000,3502923776,10049273856,28169146368,0
1725571920000,41721344000,3512639488,10049650688,28159053824,0
1725571950000,41721344000,3502313472,10050080768,28168949760,0
1725571980000,41721344000,3505160192,10050473984,28165709824,0
1725572010000,41721344000,3510452224,10050899968,28159991808,0
1725572040000,41721344000,3514925056,10051272704,28155146240,0
1725572070000,41721344000,3499003904,10051661824,28170678272,0
1725572100000,41721344000,3510476800,10052030464,28158836736,0
1725572130000,41721344000,3510464512,10052452352,28158427136,0
1725572160000,41721344000,3535032320,10052902912,28133408768,0
1725572190000,41721344000,3503706112,10053308416,28164329472,0
1725572220000,41721344000,3531407360,10053677056,28136259584,0
1725572250000,41721344000,3526406144,10054086656,28140851200,0
1725572280000,41721344000,3514519552,10054451200,28152373248,0
1725572310000,41721344000,3509760000,10054877184,28156706816,0
1725572340000,41721344000,3519172608,10055266304,28146905088,0
1725572370000,41721344000,3524141056,10055704576,28141498368,0
1725572400000,41721344000,3522404352,10056093696,28142845952,0
1725572430000,41721344000,3498688512,10060701696,28161953792,0
1725572460000,41721344000,3512352768,10061131776,28147859456,0
1725572490000,41721344000,3510374400,10061979648,28148989952,0
1725572520000,41721344000,3508981760,10062340096,28150022144,0
1725572550000,41721344000,3510153216,10062770176,28148420608,0
1725572580000,41721344000,3511058432,10063134720,28147150848,0
1725572610000,41721344000,3503030272,10063556608,28154757120,0
1725572640000,41721344000,3508506624,10063949824,28148887552,0
1725572670000,41721344000,3508142080,10064404480,28148797440,0
1725572700000,41721344000,3534835712,10064756736,28121751552,0
1725572730000,41721344000,3504205824,10065195008,28151943168,0
1725572760000,41721344000,3514335232,10065563648,28141445120,0
1725572790000,41721344000,3505315840,10065973248,28150054912,0
1725572820000,41721344000,3520614400,10066374656,28134354944,0
1725572850000,41721344000,3531673600,10066767872,28122902528,0
1725572880000,41721344000,3546046464,10067136512,28108161024,0
1725572910000,41721344000,3544469504,10067558400,28109316096,0
1725572940000,41721344000,3527450624,10067922944,28125970432,0
1725572970000,41721344000,3527483392,10068361216,28125499392,0
1725573000000,41721344000,3545268224,10068746240,28107329536,0
1725573030000,41721344000,3530747904,10069143552,28121452544,0
1725573060000,41721344000,3548868608,10069561344,28102914048,0
1725573090000,41721344000,3551617024,10069983232,28099743744,0
1725573120000,41721344000,3556249600,10070355968,28094738432,0
1725573150000,41721344000,3567050752,10070753280,28083539968,0
1725573180000,41721344000,3557605376,10071113728,28092624896,0
1725573210000,41721344000,3579637760,10071552000,28070154240,0
1725573240000,41721344000,3597123584,10071920640,28052299776,0
1725573270000,41721344000,3596111872,10072326144,28052905984,0
1725573300000,41721344000,3599384576,10072715264,28049244160,0
1725573330000,41721344000,3614167040,10073120768,28034056192,0
1725573360000,41721344000,3630784512,10073530368,28017029120,0
1725573390000,41721344000,3589730304,10073931776,28057681920,0
1725573420000,41721344000,3617296384,10074304512,28029743104,0
1725573450000,41721344000,3644817408,10074722304,28001804288,0
1725573480000,41721344000,3626270720,10075103232,28019970048,0
1725573510000,41721344000,3649785856,10075496448,27996061696,0
1725573540000,41721344000,3652186112,10075893760,27993264128,0
1725573570000,41721344000,3674284032,10076278784,27970781184,0
1725573600000,41721344000,3685138432,10076655616,27959549952,0
1725573630000,41721344000,3682308096,10077081600,27961954304,0
1725573660000,41721344000,3692285952,10077495296,27951562752,0
1725573690000,41721344000,3691597824,10086289408,27943456768,0
1725573720000,41721344000,3682799616,10086653952,27951890432,0
1725573750000,41721344000,3692879872,10087075840,27941388288,0
1725573780000,41721344000,3674931200,10087440384,27958972416,0
1725573810000,41721344000,3689775104,10087858176,27943710720,0
1725573840000,41721344000,3676045312,10088243200,27957055488,0
1725573870000,41721344000,3693113344,10088652800,27939577856,0
1725573900000,41721344000,3654512640,10089025536,27977805824,0
1725573930000,41721344000,3666395136,10089431040,27965517824,0
1725573960000,41721344000,3677003776,10089811968,27954528256,0
1725573990000,41721344000,3675291648,10090237952,27955814400,0
1725574020000,41721344000,3663134720,10090622976,27967586304,0
1725574050000,41721344000,3673587712,10091012096,27956744192,0
1725574080000,41721344000,3660275712,10091372544,27969695744,0
1725574110000,41721344000,3672338432,10091798528,27957207040,0
1725574140000,41721344000,3678687232,10092175360,27950481408,0
1725574170000,41721344000,3674939392,10092576768,27953827840,0
1725574200000,41721344000,3685126144,10092949504,27943268352,0
1725574230000,41721344000,3680579584,10093350912,27947413504,0
1725574260000,41721344000,3667505152,10093719552,27960119296,0
1725574290000,41721344000,3668590592,10094166016,27958587392,0
1725574320000,41721344000,3661565952,10094522368,27965255680,0
1725574350000,41721344000,3689771008,10094927872,27936645120,0
1725574380000,41721344000,3674886144,10095304704,27951153152,0
1725574410000,41721344000,3687718912,10095722496,27937902592,0
1725574440000,41721344000,3681644544,10096107520,27943591936,0
1725574470000,41721344000,3687751680,10096500736,27937091584,0
1725574500000,41721344000,3687165952,10096889856,27937288192,0
1725574530000,41721344000,3698753536,10097295360,27925295104,0
1725574560000,41721344000,3697467392,10097684480,27926192128,0
1725574590000,41721344000,3698388992,10098114560,27924840448,0
1725574620000,41721344000,3660414976,10098495488,27962433536,0
1725574650000,41721344000,3695968256,10098925568,27926450176,0
1725574680000,41721344000,3684069376,10099302400,27937972224,0
1725574710000,41721344000,3655532544,10099707904,27966103552,0
1725574740000,41721344000,3670528000,10100064256,27950751744,0
1725574770000,41721344000,3652890624,10100469760,27967983616,0
1725574800000,41721344000,3651448832,10100850688,27969044480,0
1725574830000,41721344000,3661000704,10105454592,27954888704,0
1725574860000,41721344000,3645317120,10105851904,27970174976,0
1725574890000,41721344000,3631239168,10106241024,27983863808,0
1725574920000,41721344000,3637805056,10106646528,27976892416,0
1725574950000,41721344000,3638067200,10107056128,27976220672,0
1725574980000,41721344000,3641167872,10107416576,27972759552,0
1725575010000,41721344000,3623587840,10107834368,27989921792,0
1725575040000,41721344000,3645480960,10108198912,27967664128,0
1725575070000,41721344000,3624673280,10108628992,27988041728,0
1725575100000,41721344000,3632553984,10109009920,27979780096,0
1725575130000,41721344000,3616366592,10109407232,27995570176,0
1725575160000,41721344000,3644592128,10109939712,27966812160,0
1725575190000,41721344000,3654537216,10110373888,27956432896,0
1725575220000,41721344000,3631235072,10110730240,27979378688,0
1725575250000,41721344000,3619741696,10111131648,27990470656,0
1725575280000,41721344000,3628965888,10111516672,27980861440,0
1725575310000,41721344000,3647655936,10111909888,27961778176,0
1725575340000,41721344000,3649994752,10112286720,27959062528,0
1725575370000,41721344000,3654459392,10112716800,27954167808,0
