"Time","recv br-12d023f77e6a","recv bri0","recv docker0","recv enp4s0","recv macvlan1","recv tailscale0","recv veth0d5c3b2","recv veth77ec78e","recv virbr0","trans br-12d023f77e6a ","trans bri0 ","trans docker0 ","trans enp4s0 ","trans macvlan1 ","trans tailscale0 ","trans veth0d5c3b2 ","trans veth77ec78e ","trans virbr0 "
1725561960000,0,11416,0,12827.2,undefined,0,undefined,0,0,0,44084.8,0,44276.8,undefined,0,undefined,0,0
1725561990000,0,11411.2,0,13046.4,undefined,0,undefined,0,0,0,42001.6,0,42193.6,undefined,0,undefined,0,0
1725562020000,0,11321.6,0,13068.8,undefined,0,undefined,0,0,0,47137.6,0,47329.6,undefined,0,undefined,0,0
1725562050000,0,814824,0,824164.8,undefined,0,undefined,0,0,0,110969.6,0,111161.6,undefined,0,undefined,0,0
1725562080000,0,2461003.2,0,2492321.6,undefined,0,undefined,0,0,0,199328,0,199520,undefined,0,undefined,0,0
1725562110000,0,5825.6,0,7262.4,undefined,0,undefined,0,0,0,38348.8,0,38540.8,undefined,0,undefined,0,0
1725562140000,0,5459.2,0,6444.8,undefined,0,undefined,0,0,0,42363.2,0,42555.2,undefined,0,undefined,0,0
1725562170000,0,4395.2,0,5044.8,undefined,0,undefined,0,0,0,38580.8,0,38830.4,undefined,0,undefined,0,0
1725562200000,0,6467.2,0,7296,undefined,0,undefined,0,0,0,42419.2,0,42611.2,undefined,0,undefined,0,0
1725562230000,0,232163.2,0,236105.6,undefined,0,undefined,0,0,0,61073.6,0,61265.6,undefined,0,undefined,0,0
1725562260000,0,6096,0,7216,undefined,0,undefined,0,0,0,38547.2,0,38739.2,undefined,0,undefined,0,0
1725562290000,0,4876.8,0,5616,undefined,0,undefined,0,0,0,38380.8,0,38572.8,undefined,0,undefined,0,0
1725562320000,0,5796.8,0,6603.2,undefined,0,undefined,0,0,0,38102.4,0,38852.8,undefined,0,undefined,0,0
1725562350000,0,5518.4,0,6347.2,undefined,0,undefined,0,0,0,38265.6,0,38486.4,undefined,0,undefined,0,0
1725562380000,0,5280,0,6265.6,undefined,0,undefined,0,0,0,38206.4,0,38427.2,undefined,0,undefined,0,0
1725562410000,0,4670.4,0,5515.2,undefined,0,undefined,0,0,0,38163.2,0,38384,undefined,0,undefined,0,0
1725562440000,0,4904,0,5710.4,undefined,0,undefined,0,0,0,38094.4,0,38286.4,undefined,0,undefined,0,0
1725562470000,0,4080,0,4864,undefined,0,undefined,0,0,0,38110.4,0,38302.4,undefined,0,undefined,0,0
1725562500000,0,5140.8,0,6644.8,undefined,0,undefined,0,0,0,38225.6,0,38417.6,undefined,0,undefined,0,0
1725562530000,0,4742.4,0,5571.2,undefined,0,undefined,0,0,0,38214.4,0,38406.4,undefined,0,undefined,0,0
1725562560000,0,5171.2,0,6089.6,undefined,0,undefined,0,0,0,38222.4,0,38459.2,undefined,0,undefined,0,0
1725562590000,0,6566.4,0,7552,undefined,0,undefined,0,0,0,38102.4,0,38294.4,undefined,0,undefined,0,0
1725562620000,0,3531.2,0,4292.8,undefined,0,undefined,0,0,0,37969.6,0,38161.6,undefined,0,undefined,0,0
1725562650000,0,4744,0,5483.2,undefined,0,undefined,0,0,0,38150.4,0,38342.4,undefined,0,undefined,0,0
1725562680000,0,3956.8,0,4584,undefined,0,undefined,0,0,0,38505.6,0,38697.6,undefined,0,undefined,0,0
1725562710000,0,3388.8,0,3971.2,undefined,0,undefined,0,0,0,37976,0,38168,undefined,0,undefined,0,0
1725562740000,0,6425.6,0,7411.2,undefined,0,undefined,0,0,0,38019.2,0,38211.2,undefined,0,undefined,0,0
1725562770000,0,4811.2,0,5550.4,undefined,0,undefined,0,0,0,37964.8,0,38156.8,undefined,0,undefined,0,0
1725562800000,0,5169.6,0,5908.8,undefined,0,undefined,0,0,0,37958.4,0,38150.4,undefined,0,undefined,0,0
1725562830000,0,6468.8,0,7297.6,undefined,0,undefined,0,0,0,37988.8,0,38739.2,undefined,0,undefined,0,0
1725562860000,0,6590.4,0,7486.4,undefined,0,undefined,0,0,0,38052.8,0,38244.8,undefined,0,undefined,0,0
1725562890000,0,8043.2,0,9006.4,undefined,0,undefined,0,0,0,38072,0,38292.8,undefined,0,undefined,0,0
1725562920000,0,8918.4,0,10400,undefined,0,undefined,0,0,0,38142.4,0,38379.2,undefined,0,undefined,0,0
1725562950000,0,3553.6,0,4788.8,undefined,0,undefined,0,0,0,38009.6,0,38230.4,undefined,0,undefined,0,0
1725562980000,0,5174.4,0,5958.4,undefined,0,undefined,0,0,0,37945.6,0,38137.6,undefined,0,undefined,0,0
1725563010000,0,42731.2,0,45678.4,undefined,0,undefined,0,0,291.2,80283.2,0,80628.8,undefined,0,undefined,452.8,0
1725563040000,0,12988.8,0,14736,undefined,0,undefined,0,0,0,45824,0,46016,undefined,0,undefined,0,0
1725563070000,0,6656,0,7686.4,undefined,0,undefined,0,0,0,39900.8,0,40092.8,undefined,0,undefined,0,0
