"Time","recv br-free5gc","recv docker0","recv enp0s31f6","recv oai-cn5g","recv veth002f3a0","recv veth26bb1ac","recv veth87a6e6e","recv veth9b70a02","recv vethafd5ab8","recv vethb92efdb","recv vethc74234b","recv vethc9ef2b2","recv vethef092b8","recv wlp0s20f3","trans br-free5gc ","trans docker0 ","trans enp0s31f6 ","trans oai-cn5g ","trans veth002f3a0 ","trans veth26bb1ac ","trans veth87a6e6e ","trans veth9b70a02 ","trans vethafd5ab8 ","trans vethb92efdb ","trans vethc74234b ","trans vethc9ef2b2 ","trans vethef092b8 ","trans wlp0s20f3 "
2024-03-04 17:53:15,0 b/s,0 b/s,6.85 kb/s,668 b/s,0 b/s,56.5 b/s,0 b/s,336 b/s,336 b/s,1.05 kb/s,984 b/s,336 b/s,435 b/s,755 b/s,0 b/s,0 b/s,16.4 kb/s,689 b/s,0 b/s,56.5 b/s,0 b/s,197 b/s,197 b/s,883 b/s,1.73 kb/s,197 b/s,250 b/s,0 b/s
2024-03-04 17:53:30,0 b/s,0 b/s,6.65 kb/s,523 b/s,0 b/s,56.5 b/s,0 b/s,672 b/s,672 b/s,1.28 kb/s,1.97 kb/s,672 b/s,826 b/s,45.9 b/s,0 b/s,0 b/s,16.3 kb/s,605 b/s,0 b/s,56.5 b/s,0 b/s,394 b/s,394 b/s,1.00 kb/s,3.49 kb/s,394 b/s,455 b/s,0 b/s
2024-03-04 17:53:45,0 b/s,0 b/s,5.92 kb/s,93.9 b/s,0 b/s,101 b/s,0 b/s,336 b/s,336 b/s,412 b/s,984 b/s,336 b/s,435 b/s,978 b/s,0 b/s,0 b/s,15.8 kb/s,124 b/s,0 b/s,101 b/s,0 b/s,197 b/s,197 b/s,273 b/s,1.73 kb/s,197 b/s,250 b/s,0 b/s
2024-03-04 17:54:00,0 b/s,0 b/s,33.6 kb/s,23.4 kb/s,0 b/s,56.5 b/s,0 b/s,672 b/s,672 b/s,25.2 kb/s,1.97 kb/s,672 b/s,848 b/s,133 b/s,0 b/s,0 b/s,40.6 kb/s,24.4 kb/s,0 b/s,56.5 b/s,0 b/s,394 b/s,394 b/s,24.9 kb/s,3.45 kb/s,394 b/s,478 b/s,0 b/s
2024-03-04 17:54:15,0 b/s,0 b/s,6.96 kb/s,193 b/s,0 b/s,56.5 b/s,0 b/s,336 b/s,336 b/s,533 b/s,984 b/s,336 b/s,413 b/s,2.08 kb/s,0 b/s,0 b/s,15.9 kb/s,199 b/s,0 b/s,56.5 b/s,0 b/s,197 b/s,197 b/s,371 b/s,1.73 kb/s,197 b/s,228 b/s,0 b/s
2024-03-04 17:54:30,0 b/s,0 b/s,6.08 kb/s,49.1 b/s,0 b/s,56.5 b/s,0 b/s,672 b/s,672 b/s,756 b/s,1.97 kb/s,672 b/s,848 b/s,133 b/s,0 b/s,0 b/s,15.8 kb/s,56.5 b/s,0 b/s,56.5 b/s,0 b/s,394 b/s,394 b/s,478 b/s,3.45 kb/s,394 b/s,478 b/s,0 b/s
2024-03-04 17:54:45,0 b/s,0 b/s,5.72 kb/s,78.9 b/s,0 b/s,101 b/s,0 b/s,336 b/s,336 b/s,389 b/s,984 b/s,336 b/s,435 b/s,471 b/s,0 b/s,0 b/s,15.7 kb/s,101 b/s,0 b/s,101 b/s,0 b/s,197 b/s,197 b/s,250 b/s,1.73 kb/s,197 b/s,250 b/s,0 b/s
2024-03-04 17:55:00,0 b/s,0 b/s,8.84 kb/s,1.03 kb/s,0 b/s,56.5 b/s,0 b/s,672 b/s,672 b/s,1.88 kb/s,1.97 kb/s,672 b/s,826 b/s,141 b/s,0 b/s,0 b/s,16.9 kb/s,1.20 kb/s,0 b/s,56.5 b/s,0 b/s,394 b/s,394 b/s,1.60 kb/s,3.45 kb/s,394 b/s,455 b/s,0 b/s
2024-03-04 17:55:15,0 b/s,0 b/s,8.96 kb/s,337 b/s,0 b/s,56.5 b/s,0 b/s,336 b/s,336 b/s,722 b/s,984 b/s,336 b/s,435 b/s,761 b/s,0 b/s,0 b/s,16.1 kb/s,389 b/s,0 b/s,56.5 b/s,0 b/s,197 b/s,197 b/s,583 b/s,1.73 kb/s,197 b/s,250 b/s,0 b/s
2024-03-04 17:55:30,0 b/s,0 b/s,8.99 kb/s,385 b/s,0 b/s,0 b/s,0 b/s,672 b/s,672 b/s,1.18 kb/s,1.97 kb/s,672 b/s,826 b/s,323 b/s,0 b/s,0 b/s,16.1 kb/s,444 b/s,0 b/s,0 b/s,0 b/s,394 b/s,394 b/s,900 b/s,3.45 kb/s,394 b/s,455 b/s,0 b/s
2024-03-04 17:55:45,0 b/s,0 b/s,7.67 kb/s,780 b/s,0 b/s,158 b/s,0 b/s,336 b/s,336 b/s,1.13 kb/s,984 b/s,336 b/s,435 b/s,709 b/s,0 b/s,0 b/s,16.6 kb/s,899 b/s,0 b/s,158 b/s,0 b/s,197 b/s,197 b/s,991 b/s,1.73 kb/s,197 b/s,250 b/s,0 b/s
2024-03-04 17:56:00,0 b/s,0 b/s,7.67 kb/s,780 b/s,0 b/s,158 b/s,0 b/s,336 b/s,336 b/s,1.13 kb/s,984 b/s,336 b/s,435 b/s,709 b/s,0 b/s,0 b/s,16.6 kb/s,899 b/s,0 b/s,158 b/s,0 b/s,197 b/s,197 b/s,991 b/s,1.73 kb/s,197 b/s,250 b/s,0 b/s
2024-03-04 17:56:15,0 b/s,0 b/s,7.67 kb/s,780 b/s,0 b/s,158 b/s,0 b/s,336 b/s,336 b/s,1.13 kb/s,984 b/s,336 b/s,435 b/s,709 b/s,0 b/s,0 b/s,16.6 kb/s,899 b/s,0 b/s,158 b/s,0 b/s,197 b/s,197 b/s,991 b/s,1.73 kb/s,197 b/s,250 b/s,0 b/s
