"Time","recv br-free5gc","recv docker0","recv enp0s31f6","recv oai-cn5g","recv veth06dac42","recv veth5003763","recv veth5bea449","recv veth6bd4b4b","recv veth93dd1f0","recv veth959d830","recv veth9661569","recv veth9ebb4af","recv vethb8cd11d","recv wlp0s20f3","trans br-free5gc ","trans docker0 ","trans enp0s31f6 ","trans oai-cn5g ","trans veth06dac42 ","trans veth5003763 ","trans veth5bea449 ","trans veth6bd4b4b ","trans veth93dd1f0 ","trans veth959d830 ","trans veth9661569 ","trans veth9ebb4af ","trans vethb8cd11d ","trans wlp0s20f3 "
2024-03-05 15:53:30,0 b/s,0 b/s,7.53 kb/s,162 b/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,465 b/s,56.5 b/s,525 b/s,0 b/s,0 b/s,1.08 kb/s,0 b/s,0 b/s,15.8 kb/s,215 b/s,2.09 kb/s,394 b/s,197 b/s,197 b/s,250 b/s,56.5 b/s,409 b/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:53:45,0 b/s,0 b/s,71.7 kb/s,57.5 kb/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,885 b/s,56.5 b/s,60.5 kb/s,0 b/s,0 b/s,133 b/s,0 b/s,0 b/s,76.1 kb/s,61.3 kb/s,3.18 kb/s,197 b/s,394 b/s,394 b/s,455 b/s,56.5 b/s,61.7 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:54:00,0 b/s,0 b/s,14.8 kb/s,7.80 kb/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,487 b/s,101 b/s,8.69 kb/s,0 b/s,0 b/s,131 b/s,0 b/s,0 b/s,24.2 kb/s,8.64 kb/s,2.09 kb/s,394 b/s,197 b/s,197 b/s,273 b/s,101 b/s,8.81 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:54:15,0 b/s,0 b/s,14.2 kb/s,2.79 kb/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,885 b/s,56.5 b/s,3.70 kb/s,0 b/s,0 b/s,97.1 b/s,0 b/s,0 b/s,18.7 kb/s,3.07 kb/s,3.18 kb/s,197 b/s,394 b/s,394 b/s,455 b/s,56.5 b/s,3.47 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:54:30,0 b/s,0 b/s,10.4 kb/s,1.47 kb/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,487 b/s,78.9 b/s,1.94 kb/s,0 b/s,0 b/s,131 b/s,0 b/s,0 b/s,17.3 kb/s,1.61 kb/s,2.09 kb/s,431 b/s,197 b/s,197 b/s,273 b/s,116 b/s,1.80 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:54:45,0 b/s,0 b/s,13.4 kb/s,563 b/s,1.77 kb/s,469 b/s,672 b/s,672 b/s,885 b/s,56.5 b/s,1.33 kb/s,101 b/s,0 b/s,179 b/s,0 b/s,0 b/s,16.3 kb/s,652 b/s,3.18 kb/s,298 b/s,394 b/s,394 b/s,455 b/s,56.5 b/s,1.05 kb/s,133 b/s,0 b/s,0 b/s
2024-03-05 15:55:00,0 b/s,0 b/s,16.5 kb/s,4.89 kb/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,465 b/s,101 b/s,5.78 kb/s,0 b/s,0 b/s,558 b/s,0 b/s,0 b/s,21.2 kb/s,5.47 kb/s,2.09 kb/s,394 b/s,197 b/s,197 b/s,250 b/s,101 b/s,5.62 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:55:15,0 b/s,0 b/s,620 kb/s,598 kb/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,908 b/s,0 b/s,620 kb/s,0 b/s,0 b/s,292 b/s,0 b/s,0 b/s,640 kb/s,602 kb/s,3.18 kb/s,197 b/s,394 b/s,394 b/s,478 b/s,0 b/s,603 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:55:30,0 b/s,0 b/s,13.0 kb/s,623 b/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,465 b/s,135 b/s,974 b/s,0 b/s,0 b/s,281 b/s,0 b/s,0 b/s,16.4 kb/s,721 b/s,2.09 kb/s,394 b/s,197 b/s,197 b/s,250 b/s,135 b/s,835 b/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:55:45,0 b/s,0 b/s,101 kb/s,88.3 kb/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,885 b/s,0 b/s,91.4 kb/s,0 b/s,0 b/s,306 b/s,0 b/s,0 b/s,107 kb/s,89.7 kb/s,3.18 kb/s,197 b/s,394 b/s,394 b/s,455 b/s,0 b/s,90.2 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:56:00,0 b/s,0 b/s,266 kb/s,250 kb/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,487 b/s,158 b/s,259 kb/s,0 b/s,0 b/s,384 b/s,0 b/s,0 b/s,277 kb/s,257 kb/s,2.09 kb/s,394 b/s,197 b/s,197 b/s,273 b/s,158 b/s,257 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:56:15,0 b/s,0 b/s,2.65 Mb/s,2.61 Mb/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,886 b/s,0 b/s,2.69 Mb/s,0 b/s,0 b/s,318 b/s,0 b/s,0 b/s,2.73 Mb/s,2.62 Mb/s,3.18 kb/s,197 b/s,394 b/s,394 b/s,456 b/s,0 b/s,2.62 Mb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:56:30,0 b/s,0 b/s,31.1 kb/s,21.5 kb/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,487 b/s,135 b/s,23.3 kb/s,0 b/s,0 b/s,43.7 b/s,0 b/s,0 b/s,39.0 kb/s,22.9 kb/s,2.09 kb/s,394 b/s,197 b/s,197 b/s,272 b/s,135 b/s,23.0 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:56:45,0 b/s,0 b/s,47.8 kb/s,31.0 kb/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,885 b/s,0 b/s,33.4 kb/s,0 b/s,0 b/s,133 b/s,0 b/s,0 b/s,48.9 kb/s,32.6 kb/s,3.21 kb/s,197 b/s,394 b/s,394 b/s,455 b/s,0 b/s,33.1 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:57:00,0 b/s,0 b/s,70.2 kb/s,59.6 kb/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,465 b/s,158 b/s,61.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,77.6 kb/s,61.1 kb/s,2.09 kb/s,394 b/s,197 b/s,197 b/s,250 b/s,158 b/s,61.2 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 15:57:15,0 b/s,0 b/s,23.3 kb/s,9.47 kb/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,908 b/s,0 b/s,11.3 kb/s,0 b/s,0 b/s,87.5 b/s,0 b/s,0 b/s,26.6 kb/s,9.92 kb/s,3.18 kb/s,197 b/s,394 b/s,394 b/s,478 b/s,0 b/s,10.4 kb/s,0 b/s,0 b/s,0 b/s
